id,url,title,created_at,scraped_at,source_url
33c85704-5e43-58be-a844-1ce4ef733365,https://developer.weweb.io,Introduction | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:19.553640,https://developer.weweb.io
17f54beb-9627-5401-9115-5ece971ae78f,https://developer.weweb.io/add-bindable-property.html,Add a bindable content property | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:20.649911,https://developer.weweb.io/add-bindable-property.html
ca7a3979-5c69-500e-9ebd-947f5619ac39,https://developer.weweb.io/add-dropzone.html,Add a dropzone | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:21.757581,https://developer.weweb.io/add-dropzone.html
bee18571-2df9-5961-a03c-e7655ea9d86b,https://developer.weweb.io/add-element-property.html,Add another element as property | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:22.860701,https://developer.weweb.io/add-element-property.html
304b1a82-a602-5d92-b454-352fe9723618,https://developer.weweb.io/add-property.html,Add content property | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:23.938821,https://developer.weweb.io/add-property.html
bba9eacd-0459-5eb4-acbd-4d2a3975160c,https://developer.weweb.io/add-responsive-property.html,Add a responsive content property | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:25.032882,https://developer.weweb.io/add-responsive-property.html
f8e8b46b-ba6c-5f2c-9bae-aecc727587f7,https://developer.weweb.io/add-translated-property.html,Add translated content property | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:26.120945,https://developer.weweb.io/add-translated-property.html
1f8a1b2f-c118-5859-9444-054573998852,https://developer.weweb.io/api,ww-config_js | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:27.202248,https://developer.weweb.io/api
5931aa64-66a0-5b0a-adfc-0814ca2da76f,https://developer.weweb.io/api/component-interface.html,Component interface | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:28.303965,https://developer.weweb.io/api/component-interface.html
7104af7a-ad68-57aa-aa6d-34b4e382ddd9,https://developer.weweb.io/api/content-property.html,Content property | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:29.452960,https://developer.weweb.io/api/content-property.html
ef631ff6-ef14-5c28-9e66-ad9ff30685cf,https://developer.weweb.io/api/weweb-io-objects.html,weweb_io objects | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:30.550205,https://developer.weweb.io/api/weweb-io-objects.html
c203448b-9ba8-5284-865d-20e551185189,https://developer.weweb.io/api/ww-config-js.html,ww-config_js | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:31.635847,https://developer.weweb.io/api/ww-config-js.html
42f955bf-074d-51bc-bfb5-38791a37102c,https://developer.weweb.io/component-anatomy.html,Anatomy of a component | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:32.720105,https://developer.weweb.io/component-anatomy.html
3ca53ead-c7ed-5e7e-955f-c8d4c5eb7e28,https://developer.weweb.io/custom-editor-interface.html,Custom editor interface | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:33.803821,https://developer.weweb.io/custom-editor-interface.html
37dc0063-d09c-57d5-9722-70a72b550d51,https://developer.weweb.io/development-process.html,Development process | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:34.895185,https://developer.weweb.io/development-process.html
e46a7c00-5e5f-5235-9d14-b8eb98dbda71,https://developer.weweb.io/stripping.html,Stripping editor code | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:35.969397,https://developer.weweb.io/stripping.html
0f776ae8-77f0-51ad-84da-b6badf4d1362,https://developer.weweb.io/update-content.html,Update yourself the content | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:37.053147,https://developer.weweb.io/update-content.html
0374b473-195f-5d0c-a319-418519851e74,https://developer.weweb.io/use-element-state.html,Use element state | WeWeb Developer Docs,2025-04-02T09:03:19.454337,2025-04-02T09:03:38.131386,https://developer.weweb.io/use-element-state.html
0e497ffe-3b85-52ca-8d04-cb28ea45acce,https://docs.weweb.io,Welcome | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:39.271758,https://docs.weweb.io
bad83679-53d4-513b-a3ae-abc26734bac2,https://docs.weweb.io/add-elements/elements/data-grid.html,Data grid element | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:40.400511,https://docs.weweb.io/add-elements/elements/data-grid.html
36c872ef-2af1-5cfc-98f2-5adb86cf8132,https://docs.weweb.io/add-elements/elements/language.html,Language Input | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:41.527229,https://docs.weweb.io/add-elements/elements/language.html
568a9b92-64ce-5ca9-a73e-f1c604b4eead,https://docs.weweb.io/add-elements/elements/paginator.html,Paginator | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:42.676197,https://docs.weweb.io/add-elements/elements/paginator.html
62c523ae-ba43-54cf-a5ec-2da561b535bf,https://docs.weweb.io/binding-filtering/binding-concept.html,Binding data | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:43.807956,https://docs.weweb.io/binding-filtering/binding-concept.html
7de0c52e-ad05-5e99-bcd9-8050700b2cb7,https://docs.weweb.io/binding-filtering/display-data.html,Display collection data | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:44.998718,https://docs.weweb.io/binding-filtering/display-data.html
ab7ef12e-119a-5fff-8f3b-7f643cc99794,https://docs.weweb.io/binding-filtering/load-more-button.html,Load more button | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:46.132304,https://docs.weweb.io/binding-filtering/load-more-button.html
cbd1dc1a-e467-56b4-a40f-ab9acd55bd8a,https://docs.weweb.io/build-guides/job-board-with-xano.html,Build a Job Board with WeWeb and Xano | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:47.274502,https://docs.weweb.io/build-guides/job-board-with-xano.html
2bfff142-a5d5-5381-85ab-a3c865741a34,https://docs.weweb.io/build-guides/using-the-crm-template.html,Learn how to build you own CRM application | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:48.422170,https://docs.weweb.io/build-guides/using-the-crm-template.html
4a4df19f-c72b-5085-bd15-94b899a8eaa8,https://docs.weweb.io/components/advanced-properties.html,Advanced properties | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:49.563796,https://docs.weweb.io/components/advanced-properties.html
a7d57078-7dae-54ae-a8bc-7df6b9214ab2,https://docs.weweb.io/components/component-dropzones.html,Component dropzones | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:50.696277,https://docs.weweb.io/components/component-dropzones.html
19f1265f-d469-5b40-a990-1f1d260f700c,https://docs.weweb.io/components/component-events.html,Component events | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:51.872684,https://docs.weweb.io/components/component-events.html
126afceb-a402-5ac9-945e-d9f0c36ffe90,https://docs.weweb.io/components/component-instance.html,Component instance | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:53.010872,https://docs.weweb.io/components/component-instance.html
c7cec047-3b19-5d1f-aec9-fac7443aed48,https://docs.weweb.io/components/intro-to-components.html,Intro to components | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:54.141062,https://docs.weweb.io/components/intro-to-components.html
4cc907fc-d316-5030-a8df-e4f7d6cd7874,https://docs.weweb.io/css-and-styling/classes.html,CSS Classes | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:55.281744,https://docs.weweb.io/css-and-styling/classes.html
c3ffb349-a912-5d1a-a46f-141b4a8e234e,https://docs.weweb.io/css-and-styling/conditional-rendering.html,Conditional rendering | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:56.427257,https://docs.weweb.io/css-and-styling/conditional-rendering.html
2f867ca3-5ad5-5e81-ae3f-7dd480ccc067,https://docs.weweb.io/css-and-styling/css-animations.html,CSS Animations | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:57.563794,https://docs.weweb.io/css-and-styling/css-animations.html
a5916c48-d0a4-5705-b823-8bde0e11871b,https://docs.weweb.io/css-and-styling/css-grid.html,CSS grid | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:58.714476,https://docs.weweb.io/css-and-styling/css-grid.html
763573d7-c39e-5692-8e9d-d3d88b5ee59c,https://docs.weweb.io/css-and-styling/css-properties.html,CSS Properties | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:03:59.869875,https://docs.weweb.io/css-and-styling/css-properties.html
2eef990c-038f-54f8-9ca5-3a4b103e23ad,https://docs.weweb.io/css-and-styling/responsive-design.html,Responsive Design | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:01.020630,https://docs.weweb.io/css-and-styling/responsive-design.html
859f7370-11b2-513e-856d-e410ccaedca1,https://docs.weweb.io/css-and-styling/states.html,States | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:02.153944,https://docs.weweb.io/css-and-styling/states.html
d929673e-a704-5ed2-9fdd-91669c302cd9,https://docs.weweb.io/data/intro-to-collections.html,Intro to collections | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:03.297251,https://docs.weweb.io/data/intro-to-collections.html
cc824846-203f-57a5-945d-5915102d34f5,https://docs.weweb.io/data/intro-to-variables.html,Intro to variables | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:04.431309,https://docs.weweb.io/data/intro-to-variables.html
427732fc-b7e1-512a-874a-3eb6a4854751,https://docs.weweb.io/editor/app-settings/app-settings.html,App settings | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:05.570574,https://docs.weweb.io/editor/app-settings/app-settings.html
165b0254-2b70-522c-ac24-296b3f8919be,https://docs.weweb.io/editor/app-settings/pwa.html,Mobile apps (PWA) | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:06.709829,https://docs.weweb.io/editor/app-settings/pwa.html
b5c48cfe-7ced-53ab-9882-00dec49e3952,https://docs.weweb.io/editor/figma/import-figma-designs.html,Import Figma designs | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:07.899524,https://docs.weweb.io/editor/figma/import-figma-designs.html
c9b73324-6e3a-504d-8c4e-4bcf897bc486,https://docs.weweb.io/editor/how-to-use-the-add-panel.html,Using the Add Panel | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:09.036198,https://docs.weweb.io/editor/how-to-use-the-add-panel.html
40b84d9d-b6fc-5ec6-b6df-73e84fa49858,https://docs.weweb.io/editor/intro-to-html-css.html,ðŸ•¸ Intro to HTML & CSS | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:10.176410,https://docs.weweb.io/editor/intro-to-html-css.html
c3bc4111-c9bd-59a8-90d3-168a45c1d181,https://docs.weweb.io/editor/intro-to-the-editor.html,Intro to the Editor | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:11.450625,https://docs.weweb.io/editor/intro-to-the-editor.html
d3fb036f-5bae-585d-bc51-b31b7bd0ecbf,https://docs.weweb.io/editor/logs.html,Logs | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:12.591032,https://docs.weweb.io/editor/logs.html
0a6b4b75-ccb1-51e5-bfd2-01c9a414d892,https://docs.weweb.io/elements/accordion.html,Accordion | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:13.698284,https://docs.weweb.io/elements/accordion.html
0de50da5-876d-5223-a1f0-c4175b6428a1,https://docs.weweb.io/elements/advanced_datagrid.html,Datagrid (Advanced) | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:14.836516,https://docs.weweb.io/elements/advanced_datagrid.html
db6a72a4-7e43-5664-9581-5d490f035daf,https://docs.weweb.io/elements/alerts.html,Alerts system | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:15.936527,https://docs.weweb.io/elements/alerts.html
a856c735-9fe5-5081-a538-28cd8271889f,https://docs.weweb.io/elements/autocomplete.html,Autocomplete | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:17.039695,https://docs.weweb.io/elements/autocomplete.html
387b1f8d-ed4f-5eea-aff6-b5695802d2a5,https://docs.weweb.io/elements/bottom-nav.html,Bottom Nav Bar | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:18.133778,https://docs.weweb.io/elements/bottom-nav.html
c93128c5-549c-5aed-a09b-59ae84cb586b,https://docs.weweb.io/elements/button.html,Button | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:19.227489,https://docs.weweb.io/elements/button.html
2a1e477d-3d65-5d28-82ac-f29473337221,https://docs.weweb.io/elements/calendar.html,The Calendar element | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:20.329912,https://docs.weweb.io/elements/calendar.html
e80d56dc-711a-5cce-aa4f-925dd3317ff4,https://docs.weweb.io/elements/checkbox.html,Checkboxes | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:22.202240,https://docs.weweb.io/elements/checkbox.html
50e5c767-d6e4-536b-a3ab-224aa82ef863,https://docs.weweb.io/elements/code.html,Code | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:23.296077,https://docs.weweb.io/elements/code.html
28156b19-eb08-5f36-944b-0e7bd8cdfb3b,https://docs.weweb.io/elements/color-picker.html,Color Picker | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:24.393163,https://docs.weweb.io/elements/color-picker.html
6d62b7ce-2291-52e7-8d5e-e2a549826876,https://docs.weweb.io/elements/columns.html,Columns | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:25.488318,https://docs.weweb.io/elements/columns.html
8a943b20-23a9-5aea-8cdd-cb70f41e83b2,https://docs.weweb.io/elements/container.html,Container | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:26.588228,https://docs.weweb.io/elements/container.html
223cd020-eafb-5ad8-9760-6f03324d434e,https://docs.weweb.io/elements/content-slider.html,Content Slider | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:27.685692,https://docs.weweb.io/elements/content-slider.html
66e58ba5-3765-5ac2-8c62-97e7c1ec895d,https://docs.weweb.io/elements/data-grid.html,Data grid element | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:28.782226,https://docs.weweb.io/elements/data-grid.html
c9078295-2d9f-5db6-82c0-417d138a34a9,https://docs.weweb.io/elements/date-pickers.html,Date pickers | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:29.885990,https://docs.weweb.io/elements/date-pickers.html
d3906d7e-68d1-591e-b20c-fa940922f5d1,https://docs.weweb.io/elements/dialog.html,"Dialog (Modal, Alert, Sheet) | WeWeb Documentation",2025-04-02T09:03:19.454337,2025-04-02T09:04:30.983871,https://docs.weweb.io/elements/dialog.html
bdf10f19-9919-551e-9554-ca3a588d83f2,https://docs.weweb.io/elements/div.html,Div | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:32.071964,https://docs.weweb.io/elements/div.html
ad49ff5e-def7-54ef-a71e-74a10bb4936f,https://docs.weweb.io/elements/donut-progress-bar.html,Progress Bar | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:33.163938,https://docs.weweb.io/elements/donut-progress-bar.html
4aba6d92-9733-50c0-bce6-2e40b505221c,https://docs.weweb.io/elements/drag-and-drop-files.html,Multiple file upload | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:34.262303,https://docs.weweb.io/elements/drag-and-drop-files.html
5e66ebc5-2b7b-57ba-896d-d408650027d0,https://docs.weweb.io/elements/dropdown.html,Dropdown | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:35.359198,https://docs.weweb.io/elements/dropdown.html
1c23f762-fa4a-5843-adec-deaf60c41ca8,https://docs.weweb.io/elements/flexbox-container.html,ðŸ§˜ Flexbox Container | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:36.453199,https://docs.weweb.io/elements/flexbox-container.html
2ce62a01-d6c0-5b30-9a6e-327264d272d2,https://docs.weweb.io/elements/form-container.html,Form container | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:37.568487,https://docs.weweb.io/elements/form-container.html
1b5bfdba-61af-5bf9-8379-7436010e1911,https://docs.weweb.io/elements/heading.html,Heading | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:38.695299,https://docs.weweb.io/elements/heading.html
eda98d32-666f-5a1a-a181-59dce1546f8f,https://docs.weweb.io/elements/icon.html,Icon | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:39.795211,https://docs.weweb.io/elements/icon.html
c4bc1010-5b17-5209-9ea1-79ed38789465,https://docs.weweb.io/elements/iframe.html,iFrame | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:40.894164,https://docs.weweb.io/elements/iframe.html
b3346101-2249-5d74-8279-0d470e9acacf,https://docs.weweb.io/elements/image-slider.html,Image Slider | WeWeb Documentation,2025-04-02T09:03:19.454337,2025-04-02T09:04:42.035887,https://docs.weweb.io/elements/image-slider.html
